,,
24062,519.43,787.85
24079,518.1,781.45
24096,514.37,781.72
24112,514.93,789.45
24129,505.03,783.83
24146,507.36,779.35
24163,520.9,771.18
24179,508.8,791.44
24196,519.29,778.7
24213,524.82,789.65
24230,514.92,772.44
24246,514.52,771.86
24263,518.87,775.68
24280,510.39,780.66
24297,503.5,789.63
24314,502.79,795.93
24330,505.89,797.13
24347,515.76,781.77
24364,498.09,994.58
24381,496.89,1187.1
24397,508.74,1176.2
24414,505.76,1196.7
24431,510.66,1194.9
24448,509.08,1194.4
24464,517.24,1191.3
24481,514.11,1187.2
24498,508.94,1188
24515,504.42,1177.6
24531,511.78,1181.2
24548,512.58,1177.8
24565,505.53,1176.7
24582,516.41,1163.5
24599,508.42,1164.5
24615,504.05,1172.1
24632,505.23,1173.3
24649,504.7,1166.8
24666,510.19,1174.4
24682,511.71,1169.9
24699,500.35,1179.1
24716,695.62,1203.8
24733,846.44,1295
24749,860.91,1299.6
24766,864.67,1302.9
24783,872.33,1293.2
24800,867.01,1285.2
24816,871.76,1280.6
24833,860.59,1285.9
24850,859.7,1307
24867,853.12,1307.1
24884,862.85,1315.8
24900,882.67,1281
24917,871.1,1289.9
24934,866.04,1282
24951,873.51,1291.9
24967,878.78,1299.2
24984,874.34,1310.1
25001,869.66,1314.7
25018,875.74,1331.3
25035,874.55,1326.5
25051,872.92,1328.6
25068,875.91,1316.7
25085,885.52,1321.3
25102,872.44,1319.8
25118,869.46,1319.1
25135,868.31,1313.8
25152,867.61,1322.2
25169,870.5,1321.7
25185,882.97,1304.8
25202,882.1,1314.2
25219,884.59,1320.3
25236,879.55,1328.3
25252,881.83,1310.5
25269,847.01,1243.8
25286,0,0
25303,0,0
25320,0,0
25336,0,0
25353,0,0
25370,0,0
25387,543.39,928.62
25404,539.25,1137.8
25420,542.25,1133.3
25437,559.66,1143.6
25454,551.8,1144.7
25471,546.83,1150.3
25487,572.2,1156.4
25504,555.3,1162.6
25521,570.89,1167.3
25538,553.14,1177.3
25554,553.79,1171.8
25571,563.71,1172.5
25588,575.26,1168.7
25605,569.58,1175.7
25621,574.47,1167.2
25638,569.66,1163.9
25655,573.73,1172.4
25672,573.55,1173.3
25688,572.62,1176
25705,577.08,1166.9
25722,570.54,1168.8
25739,567.32,1170.3
25755,561.02,1171.3
25772,565.44,1163.4
25789,560.81,1156.3
25806,554.35,1163.2
25823,545.64,1162.9
25839,572.71,1155.8
25856,556.01,1162.3
25873,561.29,1174.2
25890,553.77,1162.3
25906,564.02,1156.1
25923,551.16,1167.3
25940,557.64,1159.6
25957,563.35,1167.8
25973,559.4,1165.6
25990,567.32,1175.9
26007,563.2,1181.6
26024,562.1,1171.7
26041,554.25,1165
26057,561.61,1162
26074,569.43,1167.9
26091,569.18,1166
26108,567.48,1159
26124,566.93,1169.1
26141,569.87,1168.6
26158,571.6,1171.1
26175,569.62,1176.9
26191,572.07,1176.1
26208,565.31,1184.9
26225,564.67,1199.5
26242,556.67,1184.7
26259,551.84,1190.2
26275,562.71,1181.6
26292,563.63,1170.1
26309,557.47,1181.1
26326,572.74,1158.1
26342,552.18,1183.1
26359,568.92,1190.1
26376,572.92,1184.2
26393,579.09,1184.6
26409,579.57,1191.2
26426,573.79,1190
26443,574.66,1193.9
26460,573.63,1189.4
26477,578.4,1202.6
26493,580.71,1195.8
26510,595.87,1176.4
26527,559.2,1201.5
26544,907.16,1204.1
26560,1274,1258.7
26577,1523.4,1229
26594,1588.2,1193.7
26611,1587.8,1203.5
26627,1587,1198.9
26644,1588.6,1208.3
26661,1598.2,1204.9
26678,1589.9,1197.8
26695,1596.2,1215.5
26711,1581.1,1223
26728,1586.4,1216.6
26745,1589.3,1215.9
26762,1596.2,1222.9
26778,1591.9,1218.6
26795,1579,1218.3
26812,1579.3,1217.1
26829,1632.3,1236.8
26845,1718.1,1248.8
26862,1709.8,1244
26879,1701.6,1254.5
26896,1703.2,1261.5
26912,1698.6,1267.1
26929,1703.5,1260.2
26946,1697,1264.1
26963,1703.1,1263.5
26980,1708.2,1260.4
26996,1699,1257
27013,1701.8,1247.4
27030,1696.4,1237.4
27047,1696,1246.7
